game_str,play_id,batter,first_baserunner,second_baserunner,third_baserunner,runner,base_state,fielded_by,exit_velo_cats,outs,outs_confidence,fielder_pos_x,fielder_pos_y,fielder_pos_total,time_to_fielder,runner_start_pos_x,runner_start_pos_y,runner_start_pos_total,runner_sprint_speed,fielder_arm_strength,exit_velo,hard_hit,safe_prob,breakeven_prob,should_att,adv_att,safe,choice,team
y1_d003_CGA_QEA,81.0,QEA-0365,NA,True,NA,2B,010,4.0,very_soft,1.0,0.0,62.0508,133.1889,146.93394728193343,2150,-14.088,119.0979,119.92823490909052,19.972832047559066,59.017441413599926,37.127493190687936,False,0.99161583,0.1089,True,True,True,good,QEA
y1_d006_JJS_YJD,109.0,JJS-1890,False,True,True,2B,011,1.0,medium,1.0,1.0,-0.3834,53.2965,53.29787901793091,700,-20.6064,115.7679,117.5875435212846,12.915736912774307,54.7205673647126,118.57865347610834,True,0.96994364,0.4771,True,False,,passive,JJS
y1_d006_JJS_YJD,109.0,JJS-1890,False,True,True,3B,011,1.0,medium,1.0,1.0,-0.3834,53.2965,53.29787901793091,700,-51.429,47.8887,70.27282283137629,10.030456819108553,54.7205673647126,118.57865347610834,True,0.91994834,0.0401,True,False,,passive,JJS
y1_d006_JJS_YJD,168.0,YJD-0327,NA,NA,True,3B,001,4.0,soft,1.0,1.0,20.1282,98.3787,100.41669706244076,1350,-51.1602,48.1758,70.27285229503639,41.69290687874856,,61.37345586893961,False,0.9600881,0.09,True,True,True,good,YJD
y1_d007_JJS_YJD,133.0,YJD-0338,False,YJD-0345,True,2B,011,3.0,soft,1.0,1.0,71.6664,96.9744,120.58236663923958,1250,-14.9442,122.9706,123.87533078866026,24.27041532401133,,72.60625255377076,False,0.98551404,0.4771,True,True,True,good,YJD
y1_d007_JJS_YJD,133.0,YJD-0338,False,YJD-0345,True,3B,011,3.0,soft,1.0,1.0,71.6664,96.9744,120.58236663923958,1250,-56.811,49.3602,75.25901318141236,21.856455064808678,,72.60625255377076,False,0.9970246,0.0401,True,True,True,good,YJD
y1_d007_MCJ_RZQ,99.0,,False,False,True,3B,001,4.0,medium,1.0,0.0,47.8023,139.2351,147.21233969100552,1500,-56.805,46.8954,73.66129625631088,23.986331857956166,,100.85101453542661,True,0.9975229,0.09,True,True,True,good,
y1_d008_MCJ_RZQ,62.0,,False,True,False,2B,010,6.0,soft,1.0,0.0,-7.8003,138.0975,138.3176206646861,1800,-13.9512,116.1264,116.96143278192176,32.39361937172189,,64.64999544673039,False,0.99674207,0.1089,True,True,True,good,
y1_d008_MCJ_RZQ,163.0,,True,False,True,3B,101,5.0,soft,1.0,0.0,-59.0274,83.0664,101.90319307911798,1300,-55.3182,52.4601,76.23755861286482,26.266586302753545,63.94613297031215,59.877255281142006,False,0.9239186,0.0759,True,True,True,good,
y1_d009_DYE_RZQ,279.0,DYE-0372,NA,True,NA,2B,010,4.0,soft,0.0,0.0,35.0682,129.5889,134.24999685083796,2650,-15.8955,115.9023,116.98722180452016,32.30188254575877,54.08583534287895,63.16130359819129,False,0.99747866,0.0922,True,True,True,good,DYE
y1_d009_GEA_YJD,158.0,GEA-1485,NA,True,NA,2B,010,4.0,medium,0.0,0.0,53.7432,136.3422,146.55213081726242,2000,-20.5536,119.7936,121.5440540459302,25.60045530845093,54.880976607506256,90.7583096591449,False,0.9965313,0.0922,True,True,True,good,GEA
y1_d009_GEA_YJD,238.0,GEA-1284,NA,True,NA,2B,010,6.0,very_soft,0.0,0.0,-24.8307,129.0561,131.4231357474779,2350,-10.5972,117.8016,118.27729118643188,25.946111847442513,83.16577316835914,42.798043847539674,False,0.9966049,0.0922,True,True,True,good,GEA
y1_d010_DYE_RZQ,236.0,,False,True,False,2B,010,6.0,medium,1.0,0.0,-53.2221,136.7217,146.71542243165848,1450,-14.9979,112.2096,113.20747032139707,26.543322550125456,74.77029557439204,90.89980610729556,False,0.92502546,0.1089,True,True,True,good,
y1_d010_DYE_RZQ,3.0,,False,True,False,2B,010,6.0,very_soft,1.0,0.0,-48.1653,141.6099,149.57693639762783,2700,-15.678,115.7106,116.76790071059769,20.369982326943756,,49.96187448296848,False,0.9992611,0.1089,True,True,True,good,
y1_d010_DYE_RZQ,5.0,,True,False,True,3B,101,6.0,very_soft,1.0,0.0,-56.5698,120.4278,133.05261096603854,1950,-54.3051,51.8607,75.09045272536316,22.276851842215038,67.84431430119683,39.53730659825896,False,0.9989536,0.0759,True,True,True,good,
y1_d010_GEA_YJD,41.0,GEA-2234,False,GEA-1874,True,2B,011,5.0,very_soft,1.0,1.0,-41.4,45.522,61.53220688387505,5950,-20.6355,119.6544,121.42075316687011,33.72532111040608,,16.702890102710413,False,0.98208904,0.4771,True,True,True,good,GEA
y1_d010_GEA_YJD,41.0,GEA-2234,False,GEA-1874,True,3B,011,5.0,very_soft,1.0,1.0,-41.4,45.522,61.53220688387505,5950,-52.6383,48.7623,71.75341474926472,24.629269173079447,,16.702890102710413,False,0.9795002,0.0401,True,True,True,good,GEA
y1_d011_GEA_YJD,6.0,GEA-2400,NA,GEA-1555,NA,2B,010,1.0,soft,1.0,1.0,-0.2277,55.0356,55.03607103209676,700,-12.8844,117.5013,118.20559743535836,23.338152111938893,57.47399523903425,59.944160539560116,False,0.87913704,0.1089,True,True,True,good,GEA
y1_d011_GEA_YJD,212.0,YJD-0281,False,NA,True,3B,001,6.0,soft,1.0,1.0,-28.2543,108.4584,112.0782316020823,1500,-56.4693,55.3812,79.09398937928216,18.042574649977166,79.27534254978669,58.557062123861165,False,0.9829243,0.09,True,False,,passive,YJD
y1_d014_IXC_QEA,32.0,QEA-0369,NA,QEA-0235,NA,2B,010,6.0,medium,1.0,0.0,-56.6175,128.7495,140.6484093635616,1500,-14.7909,116.145,117.08301220847541,12.226439547145333,64.74139808583874,99.77469169205166,False,0.6390639,0.1089,True,False,,passive,QEA
y1_d014_IXC_QEA,54.0,IXC-1848,NA,NA,IXC-1016,3B,001,6.0,very_hard,1.0,0.0,-48.7626,130.6593,139.46197989147436,1850,-48.1266,44.5599,65.58776040977463,23.20730272995978,73.5678330937307,172.03140794423228,True,0.99436176,0.09,True,True,True,good,IXC
y1_d014_IXC_QEA,265.0,QEA-0071,NA,True,False,2B,010,4.0,very_soft,1.0,0.0,38.0271,108.3303,114.81077576821785,2850,-12.7755,120.045,120.7228869156549,21.567055710040652,50.58052686158889,21.503221963607785,False,0.99674183,0.1089,True,True,True,good,QEA
y1_d015_IXC_QEA,132.0,QEA-0252,True,NA,True,3B,101,6.0,very_hard,1.0,1.0,-36.0939,109.1205,114.93499526889102,1850,-58.7637,53.8728,79.72108264148198,21.28222920654694,37.51922967492645,154.95115527357183,True,0.9842164,0.0759,True,True,True,good,QEA
y1_d015_IXC_QEA,156.0,QEA-0365,NA,True,NA,2B,010,4.0,soft,1.0,0.0,-17.8506,137.5914,138.74450358237618,2000,-15.9519,120.3102,121.36312181898585,24.605821506302043,59.05994910260513,75.93982661333986,False,0.9840919,0.1089,True,True,True,good,QEA
y1_d018_OXG_QEA,134.0,OXG-0079,OXG-0131,NA,True,3B,101,4.0,hard,1.0,1.0,41.5956,115.1412,122.42422095647576,1850,-58.7049,55.7538,80.96141981493408,21.319273252153792,47.76505729683355,147.7149931097797,True,0.99824834,0.0759,True,True,True,good,OXG
y1_d018_OXG_QEA,347.0,QEA-0369,False,True,NA,2B,010,3.0,very_soft,1.0,0.0,55.1172,94.653,109.5312564743051,2150,-14.0049,123.0699,123.8641897806626,18.35831855045551,28.06717441263459,38.79317270944667,False,0.99586123,0.1089,True,True,True,good,QEA
y1_d018_OXG_QEA,348.0,QEA-0369,False,NA,True,3B,001,4.0,medium,1.0,0.0,68.7084,129.1299,146.27158064562644,1150,-56.0592,50.6286,75.53733542163107,15.06988122050076,,103.31744996862939,True,0.997207,0.09,True,True,True,good,QEA
y1_d019_OXG_QEA,10.0,,False,True,False,2B,010,4.0,very_hard,1.0,0.0,64.9086,126.8352,142.47910132015855,2277,-13.6584,120.2808,121.05380101095545,19.2764361782864,50.54878577699434,170.55392241450397,True,0.9841951,0.1089,True,True,True,good,
y1_d019_OXG_QEA,162.0,,False,True,False,2B,010,4.0,soft,0.0,0.0,54.909,131.8533,142.82958727760155,1452,-11.3934,115.4346,115.99550181244099,21.222940963506858,51.400641838363356,89.13905744449855,False,0.9888775,0.0922,True,True,True,good,
y1_d019_OXG_QEA,264.0,,False,True,False,2B,010,4.0,medium,1.0,0.0,43.8477,139.6257,146.34875091978066,1584,-15.9093,118.074,119.1409891787457,24.134281711271253,53.55625542279727,90.60090682377113,False,0.9883846,0.1089,True,True,True,good,
y1_d021_JFU_YJD,18.0,YJD-0338,NA,YJD-0327,NA,2B,010,4.0,soft,1.0,0.0,49.4688,137.4537,146.08450231674132,1100,-15.7752,117.171,118.22816997670226,16.26916789513217,73.7824507941838,88.31882760574119,False,0.8273288,0.1089,True,False,,passive,YJD
y1_d022_AKX_YJD,267.0,YJD-0020,False,True,False,2B,010,5.0,soft,1.0,0.0,-54.9867,104.9874,118.51536328953306,1650,-11.9292,117.9693,118.57091361345749,23.670331556613277,72.37723651656692,88.35475479546083,False,0.9325892,0.1089,True,True,True,good,YJD
y1_d023_AKX_YJD,256.0,YJD-0020,NA,YJD-0172,NA,2B,010,6.0,soft,1.0,1.0,-16.7865,151.5468,152.47366714449416,1881,-12.6978,119.6808,120.35251560927176,22.996868274032902,,77.74707273840718,False,0.9973029,0.1089,True,True,True,good,YJD
y1_d023_AKX_YJD,98.0,YJD-0020,NA,True,NA,2B,010,1.0,very_soft,1.0,2.0,-17.862,33.1938,37.694554015666505,2772,-14.0187,117.5931,118.42576205074639,21.45834326940857,,16.413056168353023,False,0.99531746,0.1089,True,True,True,good,YJD
y1_d024_AKX_YJD,31.0,YJD-0193,NA,YJD-0281,True,2B,011,4.0,medium,1.0,0.0,56.6811,126.1062,138.2588904036554,2013,-17.3037,118.2432,119.50260407175234,19.37240305176412,61.97687113190994,102.34239112289791,True,0.99220043,0.4771,True,True,True,good,YJD
y1_d024_AKX_YJD,31.0,YJD-0193,NA,YJD-0281,True,3B,011,4.0,medium,1.0,0.0,56.6811,126.1062,138.2588904036554,2013,-52.4199,49.4913,72.0918489962631,28.251604211015476,61.97687113190994,102.34239112289791,True,0.98393136,0.0401,True,True,True,good,YJD
y1_d025_JIL_RZQ,141.0,JIL-1052,False,True,True,2B,011,1.0,very_soft,1.0,1.0,-1.2963,32.1432,32.169328558892865,2350,-18.7146,116.202,117.69936727595437,13.536852366780066,71.08640942246548,17.554393006455545,False,0.9911404,0.4771,True,False,,passive,JIL
y1_d025_JIL_RZQ,141.0,JIL-1052,False,True,True,3B,011,1.0,very_soft,1.0,1.0,-1.2963,32.1432,32.169328558892865,2350,-57.6582,50.0187,76.33045510757813,5.244772254350106,71.08640942246548,17.554393006455545,False,0.95306,0.0401,True,False,,passive,JIL
y1_d025_JIL_RZQ,143.0,JIL-2120,NA,JIL-1052,JIL-1581,2B,011,6.0,soft,1.0,1.0,-14.9016,133.3272,134.15737006366814,2350,-15.7737,116.1963,117.2620558636936,23.009352272499957,76.68365180178033,61.538434008114265,False,0.9980665,0.4771,True,True,True,good,JIL
y1_d025_JIL_RZQ,143.0,JIL-2120,NA,JIL-1052,JIL-1581,3B,011,6.0,soft,1.0,1.0,-14.9016,133.3272,134.15737006366814,2350,-59.2926,48.9435,76.88353924612213,23.750308629573603,76.68365180178033,61.538434008114265,False,0.9962722,0.0401,True,True,True,good,JIL
y1_d026_JIL_RZQ,136.0,RZQ-0014,NA,RZQ-0381,NA,2B,010,4.0,very_soft,1.0,0.0,54.2217,135.0597,145.53733306262004,2400,-16.1475,117.8184,118.91979286397198,21.163809959456927,64.26707832050414,49.60375231707125,False,0.99835545,0.1089,True,True,True,good,RZQ
y1_d027_JIL_RZQ,199.0,RZQ-0347,NA,RZQ-0239,NA,2B,010,3.0,soft,0.0,0.0,64.1649,103.5345,121.80528347432224,1900,-13.0077,121.4541,122.14867443447758,23.042878726409068,51.586248293923155,87.64694307783374,False,0.99063665,0.0922,True,True,True,good,RZQ
y1_d027_JIL_RZQ,241.0,JIL-1171,NA,NA,JIL-1444,3B,001,6.0,very_soft,1.0,0.0,-23.6538,95.5371,98.42174419735711,1300,-59.3463,51.723,78.72262732334332,4.860625885624239,67.07470888700708,35.36998454444176,False,0.9770602,0.09,True,False,,passive,JIL
y1_d027_JIL_RZQ,355.0,JIL-1173,NA,True,True,2B,011,3.0,very_soft,0.0,0.0,50.904,68.3745,85.24253319939524,1350,-16.4787,115.9557,117.12075783643137,7.826833842621257,,26.220200360537955,False,0.9980869,0.6585,True,False,,passive,JIL
y1_d027_JIL_RZQ,355.0,JIL-1173,NA,True,True,3B,011,3.0,very_soft,0.0,0.0,50.904,68.3745,85.24253319939524,1350,-60.0048,55.11,81.47200821779221,4.642379562250356,,26.220200360537955,False,0.9976641,0.196,True,False,,passive,JIL
y1_d028_CMS_YJD,227.0,,False,True,True,2B,011,4.0,medium,1.0,0.0,37.2654,140.6562,145.5090259592167,2000,-12.8676,120.5046,121.18966024756402,23.674504514350424,62.828277607731685,105.89473664041714,True,0.9778169,0.4771,True,True,True,good,
y1_d028_CMS_YJD,227.0,,False,True,True,3B,011,4.0,medium,1.0,0.0,37.2654,140.6562,145.5090259592167,2000,-57.1257,52.8066,77.79384682640395,22.665567630218305,62.828277607731685,105.89473664041714,True,0.9980925,0.0401,True,True,True,good,
